Gene,Weight
ENSG00000150593,1
ENSG00000154930,1
ENSG00000049860,1
ENSG00000135047,1
ENSG00000102032,1
ENSG00000176978,1
ENSG00000148090,1
ENSG00000213614,1
ENSG00000138764,1
ENSG00000175155,1
ENSG00000164056,1
ENSG00000130203,1
ENSG00000119711,1
ENSG00000134333,-1
ENSG00000180817,-1
ENSG00000197956,-1
ENSG00000170515,-1
ENSG00000099901,-1
ENSG00000102172,-1
ENSG00000092621,-1
ENSG00000102030,-1
ENSG00000117318,-1
ENSG00000145287,-1
ENSG00000105258,-1
ENSG00000090273,-1
ENSG00000134825,-1
ENSG00000110200,-1
ENSG00000132341,-1
ENSG00000241468,-1
ENSG00000125931,-1
ENSG00000170430,-1
ENSG00000167815,-1
ENSG00000185624,-1
ENSG00000242485,-1
ENSG00000137309,-1
ENSG00000183207,-1
ENSG00000109390,-1
ENSG00000172172,-1
ENSG00000115541,-1
ENSG00000096080,-1
ENSG00000164405,-1
ENSG00000112110,-1
ENSG00000277791,-1
ENSG00000157020,-1
ENSG00000042493,-1
ENSG00000239282,-1
ENSG00000167900,-1
ENSG00000121766,-1
ENSG00000171314,-1
ENSG00000229117,-1
ENSG00000129562,-1
ENSG00000276023,-1
ENSG00000119718,-1
ENSG00000177700,-1
ENSG00000154277,-1
ENSG00000137288,-1
ENSG00000005022,-1
ENSG00000167085,-1
ENSG00000109084,-1
ENSG00000158882,-1
ENSG00000075131,-1
ENSG00000130429,-1
ENSG00000100410,-1
ENSG00000182004,-1
ENSG00000173465,-1
ENSG00000185627,-1
ENSG00000185088,-1
ENSG00000154813,-1
ENSG00000187051,-1
ENSG00000172009,-1
ENSG00000184076,-1
ENSG00000139579,-1
ENSG00000099804,-1
ENSG00000152684,-1
ENSG00000105173,-1
ENSG00000197798,-1
ENSG00000168061,-1
ENSG00000179958,-1
ENSG00000146701,-1
ENSG00000127554,-1
ENSG00000169592,-1
ENSG00000116212,-1
ENSG00000172590,-1
ENSG00000115677,-1
ENSG00000100162,-1
ENSG00000106636,-1
ENSG00000142507,-1
ENSG00000160783,-1
ENSG00000242616,-1
ENSG00000089220,-1
ENSG00000103018,-1
ENSG00000130713,-1
ENSG00000157778,-1
ENSG00000112578,-1
ENSG00000130165,-1
ENSG00000186352,-1
ENSG00000183628,-1
ENSG00000148331,-1
ENSG00000007080,-1
ENSG00000120158,-1
ENSG00000181991,-1
ENSG00000115233,-1
ENSG00000135617,-1
ENSG00000135245,-1
ENSG00000159377,-1
ENSG00000110717,-1
ENSG00000262814,-1
ENSG00000110108,-1
ENSG00000244687,-1
ENSG00000178980,-1
ENSG00000178896,-1
ENSG00000177556,-1
ENSG00000108591,-1
ENSG00000205220,-1
ENSG00000159199,-1
ENSG00000147400,-1
ENSG00000125743,-1
ENSG00000121775,-1
ENSG00000130204,-1
ENSG00000105185,-1
ENSG00000106263,-1
ENSG00000160050,-1
ENSG00000174744,-1
