mitosis (56),pigmentation (15),Invasion (49),Neuro (37),Immune (34),MITF-targets (109),Hypometabolic (27),MSC (14)
ENSG00000011426,ENSG00000130203,ENSG00000148926,ENSG00000175899,ENSG00000166710,ENSG00000145536,ENSG00000185633,ENSG00000135218
ENSG00000178999,ENSG00000136160,ENSG00000167772,ENSG00000158859,ENSG00000069399,ENSG00000100077,ENSG00000079739,ENSG00000105880
ENSG00000089685,ENSG00000164434,ENSG00000167601,ENSG00000118492,ENSG00000023445,ENSG00000204149,ENSG00000170340,ENSG00000161896
ENSG00000169679,ENSG00000101850,ENSG00000060982,ENSG00000135046,ENSG00000130303,ENSG00000126878,ENSG00000167900,ENSG00000164976
ENSG00000156970,ENSG00000157404,ENSG00000182492,ENSG00000240583,ENSG00000169245,ENSG00000123505,ENSG00000111640,ENSG00000181016
ENSG00000145386,ENSG00000120215,ENSG00000108691,ENSG00000018625,ENSG00000206503,ENSG00000064999,ENSG00000117592,ENSG00000135903
ENSG00000134057,ENSG00000115648,ENSG00000140945,ENSG00000129244,ENSG00000234745,ENSG00000164111,ENSG00000123505,ENSG00000092068
ENSG00000157456,ENSG00000185664,ENSG00000170558,ENSG00000117519,ENSG00000204525,ENSG00000182287,ENSG00000123983,ENSG00000119283
ENSG00000117399,ENSG00000069974,ENSG00000108821,ENSG00000182985,ENSG00000204592,ENSG00000154856,ENSG00000116133,ENSG00000162543
ENSG00000101224,ENSG00000188467,ENSG00000164692,ENSG00000108821,ENSG00000204642,ENSG00000189058,ENSG00000134333,ENSG00000145832
ENSG00000158402,ENSG00000164175,ENSG00000168542,ENSG00000187498,ENSG00000068079,ENSG00000130429,ENSG00000167325,ENSG00000181274
ENSG00000146670,ENSG00000019549,ENSG00000152207,ENSG00000151892,ENSG00000137965,ENSG00000104763,ENSG00000077498,ENSG00000137522
ENSG00000134690,ENSG00000134160,ENSG00000153904,ENSG00000168546,ENSG00000126709,ENSG00000176597,ENSG00000189043,ENSG00000205464
ENSG00000170312,ENSG00000077498,ENSG00000164741,ENSG00000146013,ENSG00000115267,ENSG00000140379,ENSG00000067225,ENSG00000125449
ENSG00000100526,ENSG00000107165,ENSG00000144355,ENSG00000017427,ENSG00000185745,ENSG00000103429,ENSG00000197713,
ENSG00000115163,,ENSG00000151617,ENSG00000196083,ENSG00000119917,ENSG00000159208,ENSG00000092621,
ENSG00000138778,,ENSG00000116285,ENSG00000213949,ENSG00000152778,ENSG00000082196,ENSG00000136881,
ENSG00000117724,,ENSG00000170323,ENSG00000091409,ENSG00000185885,ENSG00000187699,ENSG00000104723,
ENSG00000203760,,ENSG00000113578,ENSG00000198910,ENSG00000142089,ENSG00000118298,ENSG00000197594,
ENSG00000136108,,ENSG00000075426,ENSG00000135862,ENSG00000185507,ENSG00000026508,ENSG00000120437,
ENSG00000126787,,ENSG00000147257,ENSG00000132561,ENSG00000187608,ENSG00000085063,ENSG00000102144,
ENSG00000171320,,ENSG00000115461,ENSG00000158887,ENSG00000157601,ENSG00000135404,ENSG00000131069,
ENSG00000156509,,ENSG00000167779,ENSG00000064300,ENSG00000089127,ENSG00000168539,ENSG00000184254,
ENSG00000111206,,ENSG00000123496,ENSG00000196338,ENSG00000111335,ENSG00000131730,ENSG00000176890,
ENSG00000112312,,ENSG00000143013,ENSG00000179915,ENSG00000111331,ENSG00000171365,ENSG00000118705,
ENSG00000138160,,ENSG00000113083,ENSG00000100311,ENSG00000135114,ENSG00000143387,ENSG00000165092,
ENSG00000163808,,ENSG00000134013,ENSG00000104368,ENSG00000188313,ENSG00000163331,ENSG00000111716,
ENSG00000186185,,ENSG00000111341,ENSG00000175785,ENSG00000204264,ENSG00000080166,,
ENSG00000142945,,ENSG00000173376,ENSG00000146374,ENSG00000240065,ENSG00000024526,,
ENSG00000090889,,ENSG00000132688,ENSG00000196154,ENSG00000134321,ENSG00000211448,,
ENSG00000237649,,ENSG00000175745,ENSG00000012171,ENSG00000115415,ENSG00000126787,,
ENSG00000113889,,ENSG00000113721,ENSG00000092096,ENSG00000170581,ENSG00000161249,,
ENSG00000164109,,ENSG00000161381,ENSG00000184564,ENSG00000168394,ENSG00000136160,,
ENSG00000148773,,ENSG00000117450,ENSG00000132718,ENSG00000132274,ENSG00000065361,,
ENSG00000101057,,ENSG00000171522,ENSG00000186340,,ENSG00000104413,,
ENSG00000080986,,ENSG00000143333,ENSG00000106565,,ENSG00000162894,,
ENSG00000117650,,ENSG00000143248,ENSG00000038427,,ENSG00000204767,,
ENSG00000143228,,ENSG00000111252,,,ENSG00000171823,,
ENSG00000137804,,ENSG00000145147,,,ENSG00000156804,,
ENSG00000166851,,ENSG00000124766,,,ENSG00000111206,,
ENSG00000142731,,ENSG00000136158,,,ENSG00000163820,,
ENSG00000164611,,ENSG00000120708,,,ENSG00000169562,,
ENSG00000132341,,ENSG00000198959,,,ENSG00000137198,,
ENSG00000164023,,ENSG00000205542,,,ENSG00000136235,,
ENSG00000154839,,ENSG00000041982,,,ENSG00000101850,,
ENSG00000165480,,ENSG00000107731,,,ENSG00000151025,,
ENSG00000076382,,ENSG00000038427,,,ENSG00000205336,,
ENSG00000152253,,ENSG00000112715,,,ENSG00000167191,,
ENSG00000117632,,ENSG00000163032,,,ENSG00000185477,,
ENSG00000013810,,,,,ENSG00000103253,,
ENSG00000131747,,,,,ENSG00000164120,,
ENSG00000088325,,,,,ENSG00000137265,,
ENSG00000112742,,,,,ENSG00000169896,,
ENSG00000196230,,,,,ENSG00000144320,,
ENSG00000175063,,,,,ENSG00000157404,,
ENSG00000122952,,,,,ENSG00000131981,,
,,,,,ENSG00000143353,,
,,,,,ENSG00000197971,,
,,,,,ENSG00000014641,,
,,,,,ENSG00000105976,,
,,,,,ENSG00000120215,,
,,,,,ENSG00000115648,,
,,,,,ENSG00000118242,,
,,,,,ENSG00000135900,,
,,,,,ENSG00000178860,,
,,,,,ENSG00000213347,,
,,,,,ENSG00000145555,,
,,,,,ENSG00000185818,,
,,,,,ENSG00000171840,,
,,,,,ENSG00000185652,,
,,,,,ENSG00000198807,,
,,,,,ENSG00000172840,,
,,,,,ENSG00000021300,,
,,,,,ENSG00000123560,,
,,,,,ENSG00000109819,,
,,,,,ENSG00000185686,,
,,,,,ENSG00000117707,,
,,,,,ENSG00000165996,,
,,,,,ENSG00000183255,,
,,,,,ENSG00000100504,,
,,,,,ENSG00000069974,,
,,,,,ENSG00000188026,,
,,,,,ENSG00000160307,,
,,,,,ENSG00000130066,,
,,,,,ENSG00000137575,,
,,,,,ENSG00000075223,,
,,,,,ENSG00000132386,,
,,,,,ENSG00000188467,,
,,,,,ENSG00000112759,,
,,,,,ENSG00000164175,,
,,,,,ENSG00000072041,,
,,,,,ENSG00000019549,,
,,,,,ENSG00000154556,,
,,,,,ENSG00000017373,,
,,,,,ENSG00000148488,,
,,,,,ENSG00000079950,,
,,,,,ENSG00000139173,,
,,,,,ENSG00000136842,,
,,,,,ENSG00000157873,,
,,,,,ENSG00000176058,,
,,,,,ENSG00000109654,,
,,,,,ENSG00000158022,,
,,,,,ENSG00000134160,,
,,,,,ENSG00000182612,,
,,,,,ENSG00000077498,,
,,,,,ENSG00000107165,,
,,,,,ENSG00000108828,,
,,,,,ENSG00000134215,,
,,,,,ENSG00000185278,,
